id,user_id,project,timestamp,task_x,task_y,task_z,decision,yes_count,maybe_count,bad_imagery_count
18-156301-142964,lAXiPFHFDTdVqvsAZagHJ1Yt4872,2020,1478853616495,156301,142964,18,1,2,0,0
18-156301-142965,fAhhTIkJnzOS3IwRrWwdIOteMXI3,2020,1478810131068,156301,142965,18,2,0,1,0
18-156301-142971,ayghWbUQ8bXTX0kqVIP76yCNTRi2,2020,1478638357977,156301,142971,18,2,0,1,0
18-156302-142961,623wFDUodlMlp2CHTid7VxrmsJ73,2020,1478812285021,156302,142961,18,1,5,0,0
18-156302-142962,lAXiPFHFDTdVqvsAZagHJ1Yt4872,2020,1478853616496,156302,142962,18,1,1,0,0
18-156302-142963,ieyU1gWHKfMerf1NyCdYGbh3bQ83,2020,1478614014683,156302,142963,18,1,3,0,0
18-156302-142970,623wFDUodlMlp2CHTid7VxrmsJ73,2020,1478810459813,156302,142970,18,2,0,1,0
18-156302-142971,0PxI5BfAs0h5vyhsWXpY0DdXKXk1,2020,1478613544887,156302,142971,18,1.5,1,1,0
18-156302-142972,0PxI5BfAs0h5vyhsWXpY0DdXKXk1,2020,1478613544924,156302,142972,18,1,1,0,0
18-156302-142974,HufuK8X5TFY0YxnssIDGG5AWqng2,2020,1478723559864,156302,142974,18,1,1,0,0
18-156303-142957,623wFDUodlMlp2CHTid7VxrmsJ73,2020,1478811854304,156303,142957,18,1,4,0,0
18-156303-142958,623wFDUodlMlp2CHTid7VxrmsJ73,2020,1478811854307,156303,142958,18,1,4,0,0
18-156303-142959,623wFDUodlMlp2CHTid7VxrmsJ73,2020,1478812284962,156303,142959,18,1.2,4,1,0
18-156303-142960,623wFDUodlMlp2CHTid7VxrmsJ73,2020,1478812284963,156303,142960,18,1,5,0,0
18-156303-142961,623wFDUodlMlp2CHTid7VxrmsJ73,2020,1478812285020,156303,142961,18,1,5,0,0
18-156303-142962,ieyU1gWHKfMerf1NyCdYGbh3bQ83,2020,1478614014736,156303,142962,18,1,4,0,0
18-156303-142963,ieyU1gWHKfMerf1NyCdYGbh3bQ83,2020,1478614014685,156303,142963,18,1,4,0,0
18-156303-142964,lAXiPFHFDTdVqvsAZagHJ1Yt4872,2020,1478853616537,156303,142964,18,1,2,0,0
18-156303-142967,fAhhTIkJnzOS3IwRrWwdIOteMXI3,2020,1478810131070,156303,142967,18,2,0,1,0
18-156304-142956,623wFDUodlMlp2CHTid7VxrmsJ73,2020,1478811854305,156304,142956,18,1,4,0,0
18-156304-142957,623wFDUodlMlp2CHTid7VxrmsJ73,2020,1478811854306,156304,142957,18,1,4,0,0
18-156304-142958,623wFDUodlMlp2CHTid7VxrmsJ73,2020,1478811854307,156304,142958,18,1,4,0,0
18-156304-142959,623wFDUodlMlp2CHTid7VxrmsJ73,2020,1478812285052,156304,142959,18,1,5,0,0
18-156304-142960,623wFDUodlMlp2CHTid7VxrmsJ73,2020,1478812285022,156304,142960,18,1,5,0,0
18-156304-142961,623wFDUodlMlp2CHTid7VxrmsJ73,2020,1478812285088,156304,142961,18,1,5,0,0
18-156304-142962,ieyU1gWHKfMerf1NyCdYGbh3bQ83,2020,1478614014734,156304,142962,18,1,4,0,0
18-156304-142963,lAXiPFHFDTdVqvsAZagHJ1Yt4872,2020,1478853616536,156304,142963,18,1,3,0,0
18-156304-142964,lAXiPFHFDTdVqvsAZagHJ1Yt4872,2020,1478853616538,156304,142964,18,1,1,0,0
18-156304-142974,HufuK8X5TFY0YxnssIDGG5AWqng2,2020,1478723559865,156304,142974,18,2,0,1,0
18-156305-142951,4vxdQSfMN8Rl0Xi8SNLFH4i4m8H3,2020,1478614690159,156305,142951,18,1,4,0,0
18-156305-142952,4vxdQSfMN8Rl0Xi8SNLFH4i4m8H3,2020,1478614690160,156305,142952,18,1,4,0,0
18-156305-142953,nkUXKiZqODQ2dMQEUBR3TQc3YtR2,2020,1478643446802,156305,142953,18,1,3,0,0
18-156305-142956,623wFDUodlMlp2CHTid7VxrmsJ73,2020,1478811854308,156305,142956,18,1,4,0,0
