id	x	y	z
60713	156299	142970	18
60714	156299	142971	18
60715	156299	142972	18
61225	156300	142967	18
61226	156300	142968	18
61227	156300	142969	18
61228	156300	142970	18
61229	156300	142971	18
61230	156300	142972	18
61231	156300	142973	18
61737	156301	142964	18
61738	156301	142965	18
61739	156301	142966	18
61740	156301	142967	18
61741	156301	142968	18
61742	156301	142969	18
61743	156301	142970	18
61744	156301	142971	18
61745	156301	142972	18
61746	156301	142973	18
62249	156302	142961	18
62250	156302	142962	18
62251	156302	142963	18
62252	156302	142964	18
62253	156302	142965	18
62254	156302	142966	18
62255	156302	142967	18
62256	156302	142968	18
62257	156302	142969	18
62258	156302	142970	18
62259	156302	142971	18
62260	156302	142972	18
62261	156302	142973	18
62262	156302	142974	18
62760	156303	142957	18
62761	156303	142958	18
62762	156303	142959	18
62763	156303	142960	18
62764	156303	142961	18
62765	156303	142962	18
62766	156303	142963	18
62767	156303	142964	18
62768	156303	142965	18
62769	156303	142966	18
62770	156303	142967	18
62771	156303	142968	18
62772	156303	142969	18
62773	156303	142970	18
62774	156303	142971	18
62775	156303	142972	18
62776	156303	142973	18
62777	156303	142974	18
62778	156303	142975	18
63272	156304	142954	18
63273	156304	142955	18
63274	156304	142956	18
63275	156304	142957	18
63276	156304	142958	18
63277	156304	142959	18
63278	156304	142960	18
63279	156304	142961	18
63280	156304	142962	18
63281	156304	142963	18
63282	156304	142964	18
63283	156304	142965	18
63284	156304	142966	18
63285	156304	142967	18
63286	156304	142968	18
63287	156304	142969	18
63288	156304	142970	18
63289	156304	142971	18
63290	156304	142972	18
63291	156304	142973	18
63292	156304	142974	18
63293	156304	142975	18
63784	156305	142951	18
63785	156305	142952	18
63786	156305	142953	18
63787	156305	142954	18
63788	156305	142955	18
63789	156305	142956	18
63790	156305	142957	18
63791	156305	142958	18
63792	156305	142959	18
63793	156305	142960	18
63794	156305	142961	18
63795	156305	142962	18
63796	156305	142963	18
63797	156305	142964	18
63798	156305	142965	18
63799	156305	142966	18
63800	156305	142967	18
63801	156305	142968	18
63802	156305	142969	18
63803	156305	142970	18
63804	156305	142971	18
63805	156305	142972	18
63806	156305	142973	18
63807	156305	142974	18
63808	156305	142975	18
63809	156305	142976	18
64297	156306	142949	18
64298	156306	142950	18
64299	156306	142951	18
64300	156306	142952	18
64301	156306	142953	18
64302	156306	142954	18
64303	156306	142955	18
64304	156306	142956	18
64305	156306	142957	18
64306	156306	142958	18
64307	156306	142959	18
64308	156306	142960	18
64309	156306	142961	18
64310	156306	142962	18
